TITULACIONES,PLAZAS OFERTADAS,CUPO GENERAL,MAYORES 25,MAYORES 40 Y 45,TITULADOS,DISCAPACITADOS,DEPORTISTAS
GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS,281,275,6,0,3,1,1
GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS (CEUTA),70,45,2,2,0,0,0
GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS (MELILLA),70,45,0,0,1,1,0
GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS + DERECHO,143,144,1,0,2,0,0
GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS + DERECHO (MELILLA),60,41,2,0,0,0,0
GRADO EN ANTROPOLOGIA SOCIAL Y CULTURAL,65,58,0,2,1,0,0
GRADO EN ARQUEOLOGIA,65,63,1,0,1,0,0
GRADO EN ARQUITECTURA,160,143,2,0,3,1,0
GRADO EN BELLAS ARTES,235,224,5,0,3,3,0
GRADO EN BIOLOGIA,210,213,0,0,2,1,0
GRADO EN BIOQUIMICA,55,53,0,0,1,2,0
GRADO EN BIOTECNOLOGIA,50,50,0,2,1,1,1
GRADO EN CIENCIAS AMBIENTALES,150,142,1,0,1,1,0
GRADO EN CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE,190,175,4,0,3,2,8
GRADO EN CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE + EDUCACION PRIMARIA (MELILLA),65,60,1,0,2,1,0
GRADO EN CIENCIAS POLITICAS Y DE LA ADMINISTRACION,150,142,3,2,2,1,0
GRADO EN CIENCIAS POLITICAS Y DE LA ADMINISTRACION + DERECHO,145,141,2,0,2,1,0
GRADO EN CIENCIAS Y TECNOLOGIA DE LOS ALIMENTOS,65,63,0,0,1,0,0
GRADO EN COMUNICACION AUDIOVISUAL,65,62,2,0,0,1,0
GRADO EN CONSERVACION Y RESTAURACION DE BIENES CULTURALES,50,50,1,0,1,0,0
GRADO EN CRIMINOLOGIA,75,73,2,2,1,1,0
GRADO EN DERECHO,500,478,10,8,5,3,1
GRADO EN ECONOMIA,237,235,2,0,0,0,0
GRADO EN EDIFICACION ,250,83,0,2,0,0,0
GRADO EN EDUCACION INFANTIL (CIENCIAS DE LA EDUCACION),330,319,6,1,4,1,1
GRADO EN EDUCACION INFANTIL (C. MAGISTERIO INMACULADA),130,84,0,0,0,0,0
GRADO EN EDUCACION INFANTIL (CEUTA),70,41,1,0,1,0,0
GRADO EN EDUCACION INFANTIL (MELILLA),65,28,0,0,1,0,0
GRADO EN EDUCACION PRIMARIA (CIENCIAS DE LA EDUCACION),540,520,10,0,6,2,1
GRADO EN EDUCACION PRIMARIA (C. MAGISTERIO INMACULADA),220,147,3,0,11,0,0
GRADO EN EDUCACION PRIMARIA (BILINGÃœE),67,64,2,0,1,1,0
GRADO EN EDUCACION PRIMARIA (CEUTA),140,61,1,0,6,0,0
GRADO EN EDUCACION PRIMARIA (MELILLA),65,43,0,0,4,0,0
GRADO EN EDUCACION SOCIAL (CIENCIAS DE LA EDUCACION),135,133,3,1,2,2,0
GRADO EN EDUCACION SOCIAL (CEUTA),80,47,3,0,0,0,0
GRADO EN EDUCACION SOCIAL (MELILLA),80,30,0,0,0,0,0
GRADO EN ENFERMERIA,200,186,4,4,2,3,1
GRADO EN ENFERMERIA (CEUTA),135,139,3,1,1,0,0
GRADO EN ENFERMERIA (MELILLA),110,108,3,0,1,1,0
GRADO EN ESTADISTICA,60,61,0,0,0,0,0
GRADO EN ESTUDIOS ARABES E ISLAMICOS,50,34,2,0,1,0,0
GRADO EN ESTUDIOS FRANCESES,75,69,1,2,0,0,0
GRADO EN ESTUDIOS INGLESES,150,151,0,0,2,0,0
GRADO EN FARMACIA,320,316,1,0,3,2,0
GRADO EN FILOLOGIA CLASICA,50,35,0,0,3,0,0
GRADO EN FILOLOGIA HISPANICA,75,73,1,1,1,1,0
GRADO EN FILOSOFIA,80,78,1,0,0,0,0
GRADO EN FINANZAS Y CONTABILIDAD,129,127,2,0,1,0,0
GRADO EN FISICA,130,129,0,0,2,1,0
GRADO EN FISIOTERAPIA,60,56,2,2,0,1,7
GRADO EN GEOGRAFIA Y GESTION DEL TERRITORIO,60,48,2,0,0,0,0
GRADO EN GEOLOGIA,75,71,2,1,1,1,0
GRADO EN HISTORIA,150,141,3,2,2,1,0
GRADO EN HISTORIA DEL ARTE,150,133,1,2,1,0,0
GRADO EN HISTORIA Y CIENCIAS DE LA MUSICA,65,63,2,0,1,0,0
GRADO EN INFORMACION Y DOCUMENTACION,100,47,1,1,4,0,0
GRADO EN INGENIERIA DE TECNOLOGIAS DE TELECOMUNICACION,100,99,1,0,0,0,1
GRADO EN INGENIERIA CIVIL,200,172,1,0,1,0,0
GRADO EN INGENIERIA ELECTRONICA INDUSTRIAL,65,65,1,0,1,0,0
GRADO EN INGENIERIA INFORMATICA,300,294,2,0,3,1,0
GRADO EN INGENIERIA INFORMATICA + MATEMATICAS,50,50,0,0,1,0,0
GRADO EN INGENIERIA INFORMATICA (CEUTA),50,18,1,0,0,0,0
GRADO EN INGENIERIA QUIMICA,120,118,0,0,2,1,0
GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS,75,72,0,0,1,0,0
GRADO EN LITERATURAS COMPARADAS,50,44,0,0,1,0,0
GRADO EN LOGOPEDIA,70,69,2,0,1,0,0
GRADO EN MARKETING E INVESTIGACION DE MERCADOS,129,127,3,0,1,0,0
GRADO EN MATEMATICAS,110,107,0,0,1,0,0
GRADO EN MEDICINA,253,221,7,3,3,13,7
GRADO EN NUTRICION HUMANA Y DIETETICA,100,94,2,0,1,1,1
GRADO EN ODONTOLOGIA,85,82,2,1,1,1,0
GRADO EN OPTICA Y OPTOMETRIA,135,132,2,0,1,0,0
GRADO EN PEDAGOGIA,135,136,0,0,1,0,0
GRADO EN PSICOLOGIA,300,284,6,2,3,3,4
GRADO EN QUIMICA,90,89,2,0,1,0,0
GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS,365,331,8,2,2,0,0
GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (MELILLA),50,17,0,0,3,0,0
GRADO EN SOCIOLOGIA,160,150,3,0,2,1,0
GRADO EN TERAPIA OCUPACIONAL,60,60,2,2,1,0,0
GRADO EN TRABAJO SOCIAL,180,173,4,2,1,2,0
GRADO EN TRADUCCION E INTERPRETACION (ALEMAN),37,38,0,0,0,0,0
GRADO EN TRADUCCION E INTERPRETACION (ARABE),35,37,1,0,0,0,0
GRADO EN TRADUCCION E INTERPRETACION (FRANCES),80,80,0,0,1,0,0
GRADO EN TRADUCCION E INTERPRETACION (INGLES),120,110,4,1,2,3,0
GRADO EN TURISMO,144,142,1,0,2,0,0
