RAMAS,TITULACION,HOMBRES,MUJERES
ARTES Y HUMANIDADES,GRADO EN ARQUEOLOGIA,44,71
ARTES Y HUMANIDADES,GRADO EN BELLAS ARTES,326,635
ARTES Y HUMANIDADES,GRADO EN CONSERVACION Y RESTAURACION DE BIENES CULTURAL,44,158
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS FRANCESES,51,179
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS INGLESES,178,457
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS ARABES E ISLAMICOS,51,98
ARTES Y HUMANIDADES,GRADO EN FILOLOGIA CLASICA,49,90
ARTES Y HUMANIDADES,GRADO EN FILOLOGIA HISPANICA,116,394
ARTES Y HUMANIDADES,GRADO EN FILOSOFIA,172,93
ARTES Y HUMANIDADES,GRADO EN HISTORIA,393,185
ARTES Y HUMANIDADES,GRADO EN HISTORIA DEL ARTE,157,335
ARTES Y HUMANIDADES,GRADO EN HISTORIA Y CIENCIAS DE LA MUSICA,135,107
ARTES Y HUMANIDADES,GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS,106,325
ARTES Y HUMANIDADES,GRADO EN LITERATURAS COMPARADAS,53,97
ARTES Y HUMANIDADES,GRADO EN TRADUCCION E INTERPRETACION,276,1105
ARTES Y HUMANIDADES,LICENCIATURA EN ANTROPOLOGIA SOCIAL Y CULTURAL,15,33
ARTES Y HUMANIDADES,LICENCIATURA EN BELLAS ARTES,48,63
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA CLASICA,6,7
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA ESLAVA,1,2
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA FRANCESA,4,15
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA HISPANICA,10,26
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA INGLESA,36,86
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA ITALIANA,0,1
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA ROMANICA,0,1
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA ARABE,5,10
ARTES Y HUMANIDADES,LICENCIATURA EN FILOSOFIA,20,11
ARTES Y HUMANIDADES,LICENCIATURA EN GEOGRAFIA,21,10
ARTES Y HUMANIDADES,LICENCIATURA EN HISTORIA,53,35
ARTES Y HUMANIDADES,LICENCIATURA EN HISTORIA DEL ARTE,33,79
ARTES Y HUMANIDADES,LICENCIATURA EN HISTORIA Y CIENCIAS DE LA MUSICA,2,6
ARTES Y HUMANIDADES,LICENCIATURA EN TEORIA DE LA LITERATURA Y LITERATURA COMPARADA,6,3
ARTES Y HUMANIDADES,LICENCIATURA EN TRADUCCION E INTERPRETACION,28,93
CIENCIAS EXPERIMENTALES,DIPLOMATURA EN ESTADISTICA,2,6
CIENCIAS EXPERIMENTALES,DIPLOMATURA EN NUTRICION HUMANA Y DIETETICA,2,12
CIENCIAS EXPERIMENTALES,DIPLOMATURA EN OPTICA Y OPTOMETRIA,4,11
CIENCIAS EXPERIMENTALES,GRADO EN BIOLOGIA,442,599
CIENCIAS EXPERIMENTALES,GRADO EN BIOQUIMICA,80,135
CIENCIAS EXPERIMENTALES,GRADO EN BIOTECNOLOGIA,23,26
CIENCIAS EXPERIMENTALES,GRADO EN CIENCIA Y TECNOLOGIA DE LOS ALIMENTOS,79,150
CIENCIAS EXPERIMENTALES,GRADO EN CIENCIAS AMBIENTALES,307,226
CIENCIAS EXPERIMENTALES,GRADO EN ESTADISTICA,93,57
CIENCIAS EXPERIMENTALES,GRADO EN FISICA,289,102
CIENCIAS EXPERIMENTALES,GRADO EN GEOLOGIA,126,87
CIENCIAS EXPERIMENTALES,GRADO EN MATEMATICAS,205,170
CIENCIAS EXPERIMENTALES,GRADO EN QUIMICA,181,168
CIENCIAS EXPERIMENTALES,GRADO EN OPTICA Y OPTOMETRIA,156,315
CIENCIAS EXPERIMENTALES,LICENCIATURA EN BIOLOGIA,86,134
CIENCIAS EXPERIMENTALES,LICENCIATURA EN BIOQUIMICA,7,14
CIENCIAS EXPERIMENTALES,LICENCIATURA EN CIENCIA Y TECNOLOGIA DE LOS ALIMENTOS,5,19
CIENCIAS EXPERIMENTALES,LICENCIATURA EN CIENCIAS AMBIENTALES,54,60
CIENCIAS EXPERIMENTALES,LICENCIATURA EN CIENCIAS Y TECNICAS ESTADISTICAS,7,4
CIENCIAS EXPERIMENTALES,LICENCIATURA EN FISICA,50,25
CIENCIAS EXPERIMENTALES,LICENCIATURA EN GEOLOGIA,18,12
CIENCIAS EXPERIMENTALES,LICENCIATURA EN MATEMATICAS,33,20
CIENCIAS EXPERIMENTALES,LICENCIATURA EN QUIMICA,28,36
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN BIBLIOTECONOMIA Y DOCUMENTACION,0,2
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN CIENCIAS EMPRESARIALES,57,71
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN CIENCIAS EMPRESARIALES (CEUTA),1,3
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN CIENCIAS EMPRESARIALES (MELILLA),2,3
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN EDUCACION SOCIAL,1,7
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN GESTION Y ADMINISTRACION PUBLICA (MELILLA),0,1
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN RELACIONES LABORALES,62,112
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN TRABAJO SOCIAL,4,11
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN TURISMO,4,15
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ADMINISTRACION Y DIRECCION EMPRESAS Y DCHO MELILLA,23,15
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EN ADMINISTRACION Y DIRECCION DE EMPRESAS (MELILLA),117,106
CIENCIAS SOCIALES Y JURIDICAS,GRADO CC ACT FISICA Y ED.PRIMA (MELILLA),49,12
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS,716,845
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS (CEUTA),106,86
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS-DERECHO,252,399
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ANTROPOLOGIA SOCIAL Y CULTURAL,70,169
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE,690,214
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN CIENCIAS POLITICAS Y DE LA ADMINIST. Y DERECHO,242,252
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN CIENCIAS POLITICAS Y DE LA ADMINISTRACION,347,297
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN COMUNICACION AUDIOVISUAL,128,184
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN CRIMINOLOGIA,85,151
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN DERECHO,956,1368
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ECONOMIA,610,515
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION INFANTIL,55,1214
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION INFANTIL (CEUTA),14,166
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION INFANTIL (LA INMACULADA),31,317
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION INFANTIL (MELILLA),10,98
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION PRIMARIA,956,1316
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION PRIMARIA (BILINGIÂœE),46,236
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION PRIMARIA (CEUTA),125,157
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION PRIMARIA (LA INMACULADA),285,328
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION PRIMARIA (MELILLA),69,127
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION SOCIAL,111,463
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION SOCIAL (CEUTA),43,137
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION SOCIAL (MELILLA),30,138
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN FINANZAS Y CONTABILIDAD,277,285
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN GEOGRAFIA Y GESTION DEL TERRITORIO,152,64
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN GESTION Y ADMINISTRACION PUBLICA (MELILLA),8,16
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN INFORMACION Y DOCUMENTACION,102,186
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN MARKETING E INVESTIGACION DE MERCADOS,234,335
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN PEDAGOGIA,90,430
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS,587,804
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),22,42
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN SOCIOLOGIA,228,343
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN TRABAJO SOCIAL,147,605
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN TURISMO,189,479
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN ADMINISTRACION Y DIRECCION DE EMPRESAS Y DERECHO,80,187
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN ADMINISTRACION Y DIRECCION DE EMPRESAS,144,213
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE,122,20
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN CIENCIAS DEL TRABAJO,25,75
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN CIENCIAS POLITICAS Y DE LA ADMINISTRACION,59,50
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN CIENCIAS POLITICAS Y DE LA ADMON. Y DERECHO,51,84
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN COMUNICACION AUDIOVISUAL,3,2
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN DERECHO,370,425
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN DOCUMENTACION,9,37
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN ECONOMIA,114,134
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN INVESTIGACION Y TECNICAS DE MERCADO,7,6
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN PEDAGOGIA,28,80
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN PSICOLOGIA,50,139
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN PSICOPEDAGOGIA,10,26
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN PSICOPEDAGOGIA (CEUTA),3,3
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN PSICOPEDAGOGIA (MELILLA),6,16
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN SOCIOLOGIA,35,49
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE AUDICION Y LENGUAJE,0,7
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE AUDICION Y LENGUAJE,1,1
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE AUDICION Y LENGUAJE (CEUTA),0,2
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION ESPECIAL,2,2
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION ESPECIAL,0,1
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION ESPECIAL (CEUTA),1,3
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION ESPECIAL (MELILLA),0,1
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION FISICA,5,4
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION FISICA,7,1
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION FISICA (CEUTA),7,4
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION FISICA (MELILLA),1,0
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION INFANTIL,2,8
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION INFANTIL,1,3
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION INFANTIL (CEUTA),2,6
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION INFANTIL (MELILLA),0,3
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION MUSICAL,3,5
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION MUSICAL,1,0
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION MUSICAL (CEUTA),0,2
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION MUSICAL (MELILLA),1,0
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION PRIMARIA,6,16
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION PRIMARIA,0,2
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION PRIMARIA (CEUTA),0,3
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE EDUCACION PRIMARIA (MELILLA),4,4
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA,6,6
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA,2,1
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA (CEUTA),0,1
CIENCIAS SOCIALES Y JURIDICAS,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA (MELILLA),0,1
INGENIERIA Y ARQUITECTURA,ARQUITECTURA,399,333
INGENIERIA Y ARQUITECTURA,ARQUITECTURA TECNICA,169,78
INGENIERIA Y ARQUITECTURA,GRADO EN INGENIERIA EN EDIFICACION (CURSO PUENTE),1,3
INGENIERIA Y ARQUITECTURA,GRADO EN ARQUITECTURA,433,385
INGENIERIA Y ARQUITECTURA,GRADO EN EDIFICACION,793,438
INGENIERIA Y ARQUITECTURA,GRADO EN INGENIERIA CIVIL,690,258
INGENIERIA Y ARQUITECTURA,GRADO EN INGENIERIA DE TECNOLOGIAS DE TELECOMUNICACION,386,78
INGENIERIA Y ARQUITECTURA,GRADO EN INGENIERIA ELECTRONICA INDUSTRIAL,185,39
INGENIERIA Y ARQUITECTURA,GRADO EN INGENIERIA INFORMATICA,1051,112
INGENIERIA Y ARQUITECTURA,GRADO EN INGENIERIA INFORMATICA (CEUTA),39,10
INGENIERIA Y ARQUITECTURA,GRADO EN INGENIERIA INFORMATICA Y MATEMATICAS,99,31
INGENIERIA Y ARQUITECTURA,GRADO EN INGENIERIA QUIMICA,228,179
INGENIERIA Y ARQUITECTURA,INGENIERIA EN TELECOMUNICACION,135,31
INGENIERIA Y ARQUITECTURA,INGENIERIA EN ELECTRONICA,47,5
INGENIERIA Y ARQUITECTURA,INGENIERIA EN INFORMATICA,125,14
INGENIERIA Y ARQUITECTURA,INGENIERIA QUIMICA,100,116
INGENIERIA Y ARQUITECTURA,INGENIERIA TECNICA EN INFORMATICA DE GESTION,19,4
INGENIERIA Y ARQUITECTURA,INGENIERIA TECNICA EN INFORMATICA DE GESTION (CEUTA),4,1
INGENIERIA Y ARQUITECTURA,INGENIERIA TECNICA EN INFORMATICA DE SISTEMAS,13,2
INGENIERIA Y ARQUITECTURA,"INGENIERIA DE CAMINOS, CANALES Y PUERTOS",330,126
CIENCIAS DE LA SALUD,DIPLOMATURA EN ENFERMERIA,2,2
CIENCIAS DE LA SALUD,DIPLOMATURA EN ENFERMERIA (CEUTA),5,6
CIENCIAS DE LA SALUD,DIPLOMATURA EN ENFERMERIA (MELILLA),0,1
CIENCIAS DE LA SALUD,DIPLOMATURA EN FISIOTERAPIA,0,2
CIENCIAS DE LA SALUD,DIPLOMATURA EN LOGOPEDIA,0,4
CIENCIAS DE LA SALUD,DIPLOMATURA EN TERAPIA OCUPACIONAL,2,2
CIENCIAS DE LA SALUD,GRADO EN ENFERMERIA,167,594
CIENCIAS DE LA SALUD,GRADO EN ENFERMERIA (CEUTA),124,371
CIENCIAS DE LA SALUD,GRADO EN ENFERMERIA (MELILLA),88,243
CIENCIAS DE LA SALUD,GRADO EN ENFERMERIA (VIRGEN DE LA NIEVES),17,45
CIENCIAS DE LA SALUD,GRADO EN FARMACIA,574,1268
CIENCIAS DE LA SALUD,GRADO EN FISIOTERAPIA,121,139
CIENCIAS DE LA SALUD,GRADO EN LOGOPEDIA,31,249
CIENCIAS DE LA SALUD,GRADO EN MEDICINA,492,844
CIENCIAS DE LA SALUD,GRADO EN NUTRICION HUMANA Y DIETETICA,107,303
CIENCIAS DE LA SALUD,GRADO EN ODONTOLOGIA,144,274
CIENCIAS DE LA SALUD,GRADO EN PSICOLOGIA,360,1072
CIENCIAS DE LA SALUD,GRADO EN TERAPIA OCUPACIONAL,58,187
CIENCIAS DE LA SALUD,LICENCIATURA EN FARMACIA,152,326
CIENCIAS DE LA SALUD,LICENCIATURA EN MEDICINA,145,217
CIENCIAS DE LA SALUD,LICENCIATURA EN ODONTOLOGIA,6,4
