MASTER,HOMBRE,MUJER
MASTER ERASMUS MUNDUS EN EL COLOR EN LA INFORMATICA Y LA TECNOLOGIA DE LOS MEDIOS / ERASMUS MUNDUS IN COLOR IN INFORMATICS AND MEDIA TECHNOLOGY (CIMET),9,9
MASTER ERASMUS MUNDUS EN ESTUDIOS DE LAS MUJERES Y DE GENERO,3,42
MASTER ERASMUS MUNDUS EN FORMACION DE PROFESIONALES DE LA FORMACION: FORMACION PARA LA ENSEÑANZA SUPERIOR / FORMATION DE PROFESSIONNELS DE LA FORMATION. MUNDUSFOR,8,16
MASTER UNIVERSITARIO EN ANALISIS BIOLOGICO Y DIAGNOSTICO DE LABORATORIO,2,13
MASTER UNIVERSITARIO EN ANALISIS GEOGRAFICO EN LA ORDENACION DEL TERRITORIO: TECNOLOGIAS DE LA INFORMACION GEOGRAFICA,19,8
MASTER UNIVERSITARIO EN ANTROPOLOGIA FISICA Y FORENSE ,41,83
MASTER UNIVERSITARIO EN ARQUEOLOGIA ,25,14
"MASTER UNIVERSITARIO EN ARQUEOLOGIA PREHISTORICA, DEL MUNDO ANTIGUO Y MEDIEVAL",15,25
MASTER UNIVERSITARIO EN ARQUEOLOGIA Y TERRITORIO ,4,5
MASTER UNIVERSITARIO EN ARTES VISUALES Y EDUCACION. UN ENFOQUE CONSTRUCCIONISTA,12,45
MASTER UNIVERSITARIO EN ATENCION FARMACEUTICA,3,11
MASTER UNIVERSITARIO EN ATENCION FARMACEUTICA (EUROPHARMNES)                              ,23,66
MASTER UNIVERSITARIO EN ATENCION FARMACEUTICA EUROPHARMNES                                ,25,96
MASTER UNIVERSITARIO EN AVANCES EN RADIOLOGIA DIAGNOSTICA Y TERAPEUTICA Y MEDICINA FISICA,11,25
MASTER UNIVERSITARIO EN AVANCES EN RADIOLOGIA Y MEDICINA FISICA                           ,4,7
MASTER UNIVERSITARIO EN BIOLOGIA AGRARIA Y ACUICULTURA                                    ,18,28
MASTER UNIVERSITARIO EN BIOMEDICINA REGENERATIVA                                          ,21,34
MASTER UNIVERSITARIO EN BIOTECNOLOGIA                                                     ,25,39
MASTER UNIVERSITARIO EN CIENCIA Y TECNOLOGIA DE COLOIDES E INTERFASES                     ,5,0
"MASTER UNIVERSITARIO EN CONDICIONANTES GENETICOS, NUTRICIONALES Y AMBIENTALES DEL CRECIMIENTO Y DESARROLLO",6,29
"MASTER UNIVERSITARIO EN CONDICIONANTES GENETICOS, NUTRICIONALES Y AMBIENTALES EN EL CRECIMIENTO Y EL DESARROLLO",2,27
"MASTER UNIVERSITARIO EN CONSERVACION, GESTION Y  RESTAURACION DE LA BIODIVERSIDAD",12,14
"MASTER UNIVERSITARIO EN COOPERACION AL DESARROLLO, GESTION PUBLICA Y DE LAS ONGDS         ",12,24
MASTER UNIVERSITARIO EN CRIMINALIDAD E INTERVENCION SOCIAL EN MENORES                     ,9,73
"MASTER UNIVERSITARIO EN CUIDADOS DE SALUD EN LA DISCAPACIDAD, LA DEPENDENCIA Y EL FINAL DE LA VIDA",3,19
MASTER UNIVERSITARIO EN CUIDADOS DE SALUD PARA LA PROMOCION DE LA AUTONOMIA DE LAS PERSONAS Y LA ATENCION A LOS PROCESOS DEL FIN DE LA VIDA,5,27
"MASTER UNIVERSITARIO EN CULTURA DE PAZ, CONFLICTOS, EDUCACION Y DERECHOS HUMANOS          ",16,33
MASTER UNIVERSITARIO EN CULTURAS ARABE Y HEBREA. PASADO Y PRESENTE                        ,27,22
MASTER UNIVERSITARIO EN DERECHO CONSTITUCIONAL EUROPEO                                    ,21,23
MASTER UNIVERSITARIO EN DESARROLLO DE MEDICAMENTOS                                        ,2,3
MASTER UNIVERSITARIO EN DESARROLLO DE SOFTWARE                                            ,29,10
"MASTER UNIVERSITARIO EN DIBUJO - CREACION, PRODUCCION Y DIFUSION                          ",22,24
MASTER UNIVERSITARIO EN DIDACTICA DE LA MATEMATICA                                        ,9,10
MASTER UNIVERSITARIO EN DISEÑOS DE INVESTIGACION Y APLICACIONES EN PSICOLOGIA Y SALUD     ,9,23
MASTER UNIVERSITARIO EN ECONOMIA Y ORGANIZACION DE EMPRESAS                               ,20,19
MASTER UNIVERSITARIO EN ECONOMIA/ECONOMICS                                                ,27,13
MASTER UNIVERSITARIO EN EDUCACION MUSICAL: UNA PERSPECTIVA MULTIDISCIPLINAR               ,12,20
MASTER UNIVERSITARIO EN EDUCADOR / EDUCADORA AMBIENTAL                                    ,4,6
MASTER UNIVERSITARIO EN EL ANALISIS GEOGRAFICO EN LA ORDENACION DEL TERRITORIO. TECNOLOGIAS DE LA INFORMACION GEOGRAFICA,8,7
MASTER UNIVERSITARIO EN ESTADISTICA APLICADA                                              ,43,35
MASTER UNIVERSITARIO EN ESTRUCTURAS                                                       ,36,14
"MASTER UNIVERSITARIO EN ESTUDIOS E INTERVENCION SOCIAL EN INMIGRACION, DESARROLLO Y GRUPOS VULNERABLES",10,16
MASTER UNIVERSITARIO EN ESTUDIOS MIGRATORIOS. DESARROLLO E INTERVENCION SOCIAL            ,15,44
MASTER UNIVERSITARIO EN ESTUDIOS SUPERIORES DE FILOLOGIA Y TRADICION CLASICAS             ,8,6
MASTER UNIVERSITARIO EN ESTUDIOS SUPERIORES DE LENGUA ESPAÑOLA                            ,11,16
MASTER UNIVERSITARIO EN ESTUDIOS SUPERIORES DE LENGUA ESPAÑOLA: INVESTIGACION Y APLICACIONES,4,8
MASTER UNIVERSITARIO EN FILOSOFIA CONTEMPORANEA                                           ,27,11
MASTER UNIVERSITARIO EN FISICA NUCLEAR                                                    ,1,0
MASTER UNIVERSITARIO EN FISICA Y MATEMATICAS                                              ,41,15
MASTER UNIVERSITARIO EN GENETICA Y EVOLUCION                                              ,10,7
MASTER UNIVERSITARIO EN GEOFISICA Y METEOROLOGIA                                          ,18,17
MASTER UNIVERSITARIO EN GEOLOGIA                                                          ,15,18
MASTER UNIVERSITARIO EN GEOLOGIA APLICADA A LA OBRA CIVIL Y LOS RECURSOS HIDRICOS         ,21,14
"MASTER UNIVERSITARIO EN GERONTOLOGIA, DEPENDENCIA Y PROTECCION DE LOS MAYORES             ",10,20
MASTER UNIVERSITARIO EN GESTION Y EVALUACION DE LA CONTAMINACION ACUSTICA                 ,2,0
MASTER UNIVERSITARIO EN GESTION Y SEGURIDAD INTEGRAL EN LA EDIFICACION                    ,34,15
MASTER UNIVERSITARIO EN HIDRAULICA AMBIENTAL                                              ,13,9
MASTER UNIVERSITARIO EN HISTORIA DEL ARTE: CONOCIMIENTO Y TUTELA DEL PATRIMONIO HISTORICO,30,44
"MASTER UNIVERSITARIO EN INFORMACION CIENTIFICA: TRATAMIENTO, ACCESO Y EVALUACION          ",9,12
MASTER UNIVERSITARIO EN INFORMACION Y COMUNICACION CIENTIFICA                             ,12,10
MASTER UNIVERSITARIO EN INGENIERIA ACUSTICA: CONTAMINACION ACUSTICA                       ,16,6
MASTER UNIVERSITARIO EN INGENIERIA DE COMPUTADORES Y REDES                                ,32,5
MASTER UNIVERSITARIO EN INGENIERIA GEOLOGICA APLICADA A LA OBRA CIVIL                     ,2,0
MASTER UNIVERSITARIO EN INGENIERIA TISULAR                                                ,9,11
MASTER UNIVERSITARIO EN INTERVENCION PSICOPEDAGOGICA                                      ,7,32
MASTER UNIVERSITARIO EN INVESTIGACION EN ACTIVIDAD FISICA Y DEPORTE                       ,36,20
MASTER UNIVERSITARIO EN INVESTIGACION ODONTOLOGICA                                        ,8,15
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN ANALISIS BIOLOGICO Y DIAGNOSTICO DE LABORATORIO,2,7
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN INMUNOLOGIA MOLECULAR Y CELULAR        ,12,21
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN MEDICINA PREVENTIVA Y SALUD PUBLICA    ,9,25
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN MICROBIOLOGIA                          ,19,35
"MASTER UNIVERSITARIO EN INVESTIGACIONES Y AVANCES EN PSICOLOGIA DE LA SALUD, EVALUACION Y TRATAMIENTO PSICOLOGICO",3,21
MASTER UNIVERSITARIO EN LA MONARQUIA CATOLICA. EL SIGLO DE ORO ESPAÑOL Y LA EUROPA BARROCA,24,9
MASTER UNIVERSITARIO EN LITERATURA Y LINGÜISTICA INGLESAS                                 ,14,35
MASTER UNIVERSITARIO EN MARKETING Y COMPORTAMIENTO DEL CONSUMIDOR                         ,15,22
MASTER UNIVERSITARIO EN MATEMATICAS                                                       ,14,11
MASTER UNIVERSITARIO EN METODOS Y TECNICAS AVANZADAS EN FISICA                            ,20,6
MASTER UNIVERSITARIO EN NEUROCIENCIA COGNITIVA Y DEL COMPORTAMIENTO                       ,13,24
MASTER UNIVERSITARIO EN NEUROCIENCIA Y DOLOR                                              ,24,38
MASTER UNIVERSITARIO EN NUTRICION HUMANA                                                  ,26,42
MASTER UNIVERSITARIO EN OPTICA Y OPTOMETRIA AVANZADA                                      ,12,26
MASTER UNIVERSITARIO EN PATRIMONIO MUSICAL                                                ,16,14
MASTER UNIVERSITARIO EN PREVENCION DE RIESGOS LABORALES                                   ,12,16
MASTER UNIVERSITARIO EN PROBLEMAS SOCIALES. DIRECCION Y GESTION DE PROGRAMAS SOCIALES,19,27
"MASTER UNIVERSITARIO EN PROFESORADO DE EDUCACION SECUNDARIA OBLIGATORIA Y BACHILLERATO, FORMACION PROFESIONAL Y ENSEÑANZA DE IDIOMAS",212,276
MASTER UNIVERSITARIO EN PSICOLOGIA DE LA INTERVENCION SOCIAL                              ,4,27
MASTER UNIVERSITARIO EN PSICOLOGIA DE LA SALUD                                            ,5,18
MASTER UNIVERSITARIO EN QUIMICA                                                           ,7,12
MASTER UNIVERSITARIO EN SEGURIDAD INTEGRAL EN EDIFICACION                                 ,57,26
MASTER UNIVERSITARIO EN SOFT COMPUTING Y SISTEMAS INTELIGENTES                            ,56,15
MASTER UNIVERSITARIO EN TECNOLOGIA Y CALIDAD DE LOS ALIMENTOS                             ,2,3
MASTER UNIVERSITARIO EN TECNOLOGIAS MULTIMEDIA                                            ,16,3
MASTER UNIVERSITARIO EN TRADUCCION E INTERPRETACION                                       ,33,50
MASTER UNIVERSITARIO ERASMUS MUNDUS EN COLOR IN INFORMATICS AND MEDIA TECHNOLOGY (CIMET),2,2
MASTER UNIVERSITARIO ERASMUS MUNDUS EN ESTUDIOS DE LAS MUJERES Y DE GENERO / MASTER'S DEGREEIN GENDER AND WOMEN'S STUDIES. GEMMA,1,43
MASTER UNIVERSITARIO ERASMUS MUNDUS EN EXCELENCIA EN SALUD PUBLICA / EUROPUBHEALTH        ,4,8
MASTER UNIVERSITARIO ERASMUS MUNDUS EN FORMACION DE PROFESIONALES DE LA FORMACION (MUNDUSFOR),7,11
